"source_1"	"source_2"	"source_3"	"rank_product"	"rank_final"
"16470"	241	NA	22	36.4074168267951	109
"66818"	27	NA	197	36.4657373434297	110
"234852"	161.5	NA	33	36.5017122886037	111
"107449"	205.5	NA	26	36.547913757149	112
"381204"	100	55	NA	37.0809924354783	113
"19882"	62	NA	89	37.1416208585463	114
"55992"	28	NA	200	37.4165738677394	115
"20218"	55	NA	102	37.449966622148	116
"17965"	173	33	NA	37.7789623997272	117
"381921"	48	NA	120	37.9473319220206	118
"15288"	156.5	NA	37	38.047667471213	119
"69834"	115	68	211	39.3890174951761	120
"232947"	71	NA	88	39.522145690739	121
"230577"	69	NA	91	39.6200706713151	122
"68926"	70	NA	90	39.6862696659689	123
"116904"	127.5	NA	50	39.9217985566783	124
"109594"	54	NA	119	40.0811676476622	125
"79554"	101	NA	65	40.5123437979093	126
"11666"	NA	67	100	40.9267638593622	127
"271786"	248.5	NA	27	40.9557688244281	128
"16917"	182.5	37	NA	41.0867983663853	129
"72254"	39	NA	176	41.424630354416	130
"140858"	40	NA	172	41.4728827066554	131
"23920"	NA	41	168	41.4969878424929	132
"105855"	84.5	NA	82	41.6203075433135	133
"75580"	129.5	NA	54	41.8120795942991	134
"107975"	76	NA	96	42.7083130081252	135
"217365"	109.5	NA	67	42.8266856060564	136
"78267"	214	35	NA	43.2723930468376	137
"58235"	131.5	NA	59	44.0411739171426	138
"72789"	199.5	NA	39	44.1035712839675	139
"19415"	NA	49	159	44.1333207452147	140
"14184"	195	NA	40	44.1588043316392	141
"26971"	79	NA	99	44.218208918951	142
"269878"	143.5	NA	55	44.4198716792383	143
"19359"	117	NA	69	44.9249373956158	144
"74156"	43.5	NA	187	45.095731505321	145
"19205"	123.5	NA	66	45.1414443721067	146
"212733"	146	56	NA	45.2106182218293	147
"56364"	170	NA	49	45.6344168364185	148
"18641"	50	NA	171	46.2331050222673	149
"19821"	143.5	NA	62	47.1619550061276	150
"74646"	121.5	NA	74	47.4104418878373	151
"140546"	89.5	NA	101	47.5381425804585	152
"67582"	45	NA	203	47.788596966222	153.5
"83554"	63	NA	145	47.788596966222	153.5
"17188"	233	40	NA	48.2700735445887	155
"12217"	211.5	NA	45	48.7788376245273	156
"30957"	159.5	60	NA	48.9131884055824	157
"13350"	205.5	NA	47	49.1388339299988	158
"71729"	48	NA	202	49.2341345003647	159
"213438"	52	NA	194	50.2195181179589	160
"74126"	119.5	NA	86	50.6877697280123	161
"64144"	NA	61	170	50.9165984724039	162
"108100"	225.5	46	NA	50.9239629251299	163
"114715"	58	NA	179	50.9460498959438	164
"13716"	178.5	59	NA	51.3115484077415	165
"110829"	66	NA	161	51.5412456194066	166
"74533"	84.5	NA	128	52	167
"66152"	88	NA	125	52.4404424085076	168
"434215"	155	NA	71	52.4523593368306	169
"102075"	235	47	NA	52.5475974712451	170
"104401"	197.5	NA	56	52.5832673005396	171
"67893"	196	57	NA	52.8488410468952	172
"16969"	NA	53	211	52.8748522456564	173
"17135"	93	NA	121	53.0400791854613	174
"269642"	109.5	NA	104	53.3572862878164	175
"67878"	65	NA	178	53.7819672380994	176
"54357"	72	NA	163	54.1664102558034	177
"223920"	189.5	62	NA	54.196402094604	178
"51800"	241	50	NA	54.8862460002504	179
"118445"	81	NA	154	55.8435314069589	180
"268932"	208.5	NA	60	55.9240556469217	181
"228536"	176	NA	72	56.2849891178812	182
"68606"	208.5	NA	61	56.3881636516033	183
"224647"	202	NA	63	56.4047870308895	184
"50868"	221	63	NA	58.9978813178914	185
"231834"	187	NA	75	59.2135964116351	186
"433485"	193.5	NA	73	59.4253733686209	187
"21916"	184.5	NA	78	59.9812470693966	188
"64436"	151.5	NA	95	59.9843729649648	189
"108013"	228	65	NA	60.8687111741328	190
"320825"	99	NA	151	61.1330516169445	191
"414077"	115	NA	130	61.1350963031874	192
"214469"	135	NA	111	61.2066172893095	193
"23942"	164.5	NA	94	62.1751558100179	194
"19223"	74	NA	211	62.4779961266365	195
"20980"	180	NA	87	62.5699608438426	196
"54403"	224	NA	70	62.6099033699941	197
"217331"	127.5	NA	123	62.6148943942254	198
"19303"	98	NA	162	63	199
"22411"	205.5	NA	79	63.7073386667502	200
"70956"	129.5	NA	126	63.8690065681313	201
"64378"	83	NA	198	64.0975818576645	202
"245468"	123.5	NA	136	64.7996913572897	203
"26362"	151.5	NA	112	65.1306379517351	204
"218311"	82	NA	211	65.7685335095743	205
"236920"	92	NA	189	65.9317829275077	206
"211255"	104.5	NA	167	66.052062798977	207
"52502"	138	NA	127	66.1928999213662	208
"53761"	231	NA	76	66.2495283002075	209
"269401"	219.5	NA	80	66.2570750939098	210
"78610"	103	NA	173	66.743913580191	211
"268567"	107	NA	169	67.2365228131259	212
"230674"	136.5	NA	134	67.622111768267	213
"20970"	187	NA	98	67.686778620348	214
"17308"	121.5	NA	153	68.171658333944	215
"320267"	119.5	NA	156	68.2678548073689	216
"241556"	107	NA	175	68.41966091702	217
"70686"	131.5	NA	143	68.5647504188559	218
"21685"	238	NA	81	69.4226187924368	219
"668225"	141	NA	141	70.5	220
"114666"	154	NA	133	71.557669050913	221
"17999"	134	NA	155	72.0590036012156	222
"14264"	159.5	NA	131	72.2746497743157	223
"74488"	187	NA	117	73.9577582137263	224
"326622"	214	NA	105	74.949983322213	225
"104099"	199.5	NA	113	75.0724649921661	226
"13629"	125	NA	183	75.6224173112709	227
"209195"	153	NA	150	75.7462870377156	228
"171212"	156.5	NA	149	76.3519809828141	229
"12934"	211.5	NA	114	77.6385857676452	230
"74392"	176	NA	137	77.6401957751267	231
"71885"	167.5	NA	146	78.1904725653963	232
"97387"	149	NA	165	78.3980229342552	233
"18846"	219.5	NA	115	79.4394423444677	234
"209446"	161.5	NA	158	79.8702072114502	235
"109161"	174	NA	148	80.23714850367	236
"235636"	243.5	NA	107	80.7070319117238	237
"67512"	202	NA	129	80.7124525708394	238
"227693"	176	NA	152	81.7801932010435	239
"223666"	192	NA	142	82.5590697622012	240
"20405"	238	NA	118	83.7914076740569	241
"20613"	170	NA	177	86.7323469070219	242
"73836"	235	NA	138	90.0416570260677	243
"213649"	172	NA	190	90.3880523078133	244
"270198"	228	NA	144	90.598013223249	245
"213211"	251	NA	135	92.0393937398547	246
"22404"	178.5	NA	191	92.3221262753409	247
"228913"	205.5	NA	166	92.3485246227572	248
"23796"	235	NA	147	92.9314263314623	249
"24069"	167.5	NA	211	93.9980052979849	250
"74154"	197.5	NA	180	94.273538174824	251
"239559"	210	NA	184	98.2852990024449	252
"212632"	193.5	NA	201	98.6071751953173	253
"94282"	184.5	NA	211	98.6528002643615	254
"217737"	248.5	NA	160	99.6995486449161	255
"15562"	189.5	NA	211	99.9806231226831	256
"71709"	231	NA	185	103.362227143188	257
"18111"	241	NA	186	105.860757601672	258
"21812"	214	NA	211	106.247352908202	259
"102193"	245	NA	188	107.307968017291	260
"51799"	248.5	NA	193	109.499429222257	261
"17826"	246	NA	199	110.627754203003	262
"319642"	238	NA	211	112.046865194882	263
