"source_1"	"source_2"	"source_3"	"source_4"	"source_5"	"rank_product"	"rank_final"
"75731"	NA	NA	39	13.5	NA	11.4727939055838	39
"13854"	NA	NA	53	10	NA	11.5108644332213	40
"20595"	NA	NA	40.5	13.5	NA	11.6913429510899	41
"71955"	NA	NA	64.5	NA	9	12.0467838031568	42
"12064"	NA	10	60	NA	NA	12.2474487139159	43
"26448"	NA	NA	93	6.5	NA	12.2932908531442	44
"20364"	NA	NA	32.5	19	NA	12.4247736397892	45
"21983"	NA	NA	13	49	NA	12.619429464124	46
"66704"	14	NA	NA	47	NA	12.8257553383807	47
"67145"	NA	NA	15.5	43	NA	12.9083306434256	48
"21833"	NA	NA	10	68	NA	13.0384048104053	49
"52004"	NA	NA	43	16	NA	13.114877048604	50
"68203"	NA	NA	38	NA	18.5	13.2570735835629	51
"76429"	NA	NA	8	93	NA	13.6381816969859	52
"237806"	NA	NA	85	9	NA	13.8293166859393	53
"56233"	NA	NA	57	13.5	NA	13.8699315066802	54
"18004"	NA	NA	27	30	NA	14.2302494707577	55
"22408"	NA	11	88.5	81	NA	14.2939547695054	56
"20944"	NA	NA	15.5	54	NA	14.4654761414894	57
"20186"	NA	NA	42	21	NA	14.8492424049175	58.5
"29807"	NA	NA	14	63	NA	14.8492424049175	58.5
"68184"	NA	14	83	76.5	NA	14.8765171188381	60
"74096"	NA	NA	66	NA	14	15.1986841535707	61
"99237"	NA	13	79	NA	NA	16.0234203589621	62
"77605"	NA	NA	80	13.5	NA	16.431676725155	63
"239336"	NA	NA	75	NA	15	16.7705098312484	64
"71889"	NA	NA	40.5	28	NA	16.8374582404827	65
"16498"	NA	15	76	NA	NA	16.8819430161341	66
"211305"	NA	NA	26	45.5	NA	17.1973835219198	67
"67994"	NA	NA	29	41.5	NA	17.3457487587017	68
"14248"	NA	NA	51	25	NA	17.8535710713571	69
"16988"	NA	NA	24	54	NA	18	70
"57816"	NA	NA	25	54	NA	18.3711730708738	71
"63873"	NA	NA	19	72	NA	18.4932420089069	72
"14186"	NA	NA	81.5	17	NA	18.6111525704348	73
"243897"	NA	NA	31	45.5	NA	18.7783119582139	74
"58991"	NA	NA	37	41.5	NA	19.5927282428966	75
"72042"	NA	NA	23	70	NA	20.0624026477389	76
"264064"	NA	NA	74	22	NA	20.174241001832	77
"14400"	NA	NA	34.5	48	NA	20.3469899493758	78
"380840"	NA	NA	21	89	NA	21.6159663212173	79
"11637"	NA	NA	32.5	58	NA	21.7082933460924	80
"68046"	NA	NA	61	31	NA	21.7428149051589	81
"104884"	NA	NA	52	37	NA	21.9317121994613	82
"20500"	NA	NA	97	20	NA	22.0227155455452	83
"98999"	NA	NA	62	35	NA	23.2916293977042	84
"13449"	NA	NA	68	34	NA	24.0416305603426	85
"20648"	NA	NA	36	65	NA	24.1867732448956	86
"20226"	NA	NA	45.5	54	NA	24.7840674627875	87
"66859"	NA	NA	28	88	NA	24.8193472919817	88
"54483"	NA	NA	70	38	NA	25.7875939164553	89
"224109"	NA	NA	45.5	60	NA	26.1247009552263	90
"13595"	NA	NA	54.5	54	NA	27.1247119800377	91
"50496"	NA	NA	72	44	NA	28.1424945589406	92
"75624"	NA	NA	92	40	NA	30.3315017762062	93
"13644"	NA	NA	50	76.5	NA	30.9232921921325	94
"230810"	NA	NA	49	79	NA	31.1086804606046	95
"104799"	NA	NA	69	59	NA	31.9021942818985	96
"230996"	NA	NA	67	61	NA	31.9648244168492	97
"12818"	NA	NA	54.5	75	NA	31.9667796313611	98
"237611"	NA	NA	81.5	51	NA	32.2354618394091	99
"12577"	NA	NA	86	50	NA	32.78719262151	100
"56440"	NA	NA	58	85	NA	35.1069793630839	101
"76073"	NA	NA	71	74	NA	36.2422405488402	102
"78911"	NA	NA	59	90	NA	36.4348734044734	103
"56273"	NA	NA	87	62	NA	36.7219280539571	104
"108888"	NA	NA	64.5	91	NA	38.3063310694198	105
"74442"	NA	NA	91	66	NA	38.7491935399951	106
"14160"	NA	NA	94	64	NA	38.7814388593306	107
"68018"	NA	NA	90	67	NA	38.8265373166344	108
"227619"	NA	NA	84	84	NA	42	109
"329003"	NA	NA	100	71	NA	42.1307488658818	110
"54170"	NA	NA	99	73	NA	42.5058819459143	111
"276846"	NA	NA	77	94	NA	42.5382181103064	112
"209743"	NA	NA	95	80	NA	43.5889894354067	113
"14603"	NA	NA	88.5	92	NA	45.1165158229223	114
"353155"	NA	NA	96	86	NA	45.4312667664022	115
